string,selectivity
LUB,231
RUHANA,5
DAUSKAR,1
BENYUAN,2
UKSAS,1
ANIFFE,1
DANDAMU,12
BEVERLE,4
LRAHM,20
VAINER,2
EVORKI,2
AJIDU,2
YOKO,121
REVICH,20
GARBAS,1
SANOG,5
UZCATE,2
SINKO,5
SCR,39
NAVAZ,15
ARYNA,4
NGHWAI,4
PRINKE,1
RROKH,33
GCHUL,39
RSENG,2
LATOK,1
SCEDERE,1
CKLIDER,1
STEELY,2
KROGMA,9
URMISTR,1
EYFANT,1
COGILL,4
ZAQAIBE,2
VYSKO,1
SHLER,1
ALQURA,2
UBAUER,6
IACOVELL,2
ERRUM,9
ALAGNAC,1
KANYAMEE,1
HAWR,7
EHLENB,1
ERBERT,253
FINGHA,1
UMAYE,1
LANIWAL,1
HAEB,4
IACOBO,1
IEZZO,8
WEIJE,1
AHSIN,9
RACHO,15
TERIL,3
AUBOL,2
SONGCHE,4
RUOSL,1
DZIECH,1
RIFSO,1
HREIBER,43
EATM,2
MOULIS,31
YUEPI,8
HUSSEI,112
KHORAMI,2
IPEK,13
TTWOOD,1
MENOLL,2
PANIER,11
AKUCHE,1
HUNDO,2
RFIANA,1
TYRTYS,5
KORCZAK,2
RZPA,1
ECOMAND,1
ENJAMAS,1
ICHERR,1
HEDIJ,1
HEFFERNA,11
HUGUE,69
LBANK,2
GRANOV,4
BINETT,3
MACULA,50
INGTS,7
LERMK,1
WICKUS,1
SPURAS,1
ABDUJA,1
ADESEH,2
LACHAPEL,4
AIJIU,1
ORTZAK,1
SIVASHIN,1
GAWOR,1
CHBU,5
KARACH,3
SHOMALN,1
WUSTM,2
IEVE,112
OMJOO,2
ELI,4413
LVELLO,2
SAGERER,4
RIYABAND,1
PELCKMAN,8
YUTHAV,2
MEHAMEDI,1
BRAOU,1
LOECHN,2
ARBIND,1
SAFFIOTT,4
UMIEGA,1
ECEJ,2
TANKE,7
ALIE,246
ASPREMO,3
JAVS,2
ACCAGNI,1
YMYR,18
SKEVICIE,3
OUSEWOR,3
STEGMAI,2
SIRIWA,4
NUKOKIL,3
REENLE,8
MEROUA,4
HMADFA,1
AMSO,128
OOJEN,1
ARADRAJ,1
SHEKH,73
JALLA,2
CASTAL,7
RONEVI,2
SKROP,2
HRAIC,4
ARANTOS,2
HESHWARY,2
KEFELLE,1
CHAVERO,5
FANGE,2
EBREYEND,1
ERUMI,2
OHLFART,1
BOULAH,10
ELCHAI,2
SITSIPI,1
ZANTEMA,7
SHULIAN,4
HOUGATA,1
FIQA,5
MAHOME,1
UILBOER,1
MERAT,5
TANGIRAL,3
ICHTO,5
PODAIM,1
REYM,10
GANTAL,2
SARZY,1
ARANDOLA,1
BUZATU,1
HAZENI,1
CHERNAVS,1
KAUTSK,1
JANUSZEW,4
IKNAMF,1
ALADRO,1
TANIGAWA,6
ACOMUSS,1
HUNCHA,1
URGELMA,3
ECELL,7
BUTYG,2
OLSTONOG,1
EGOJEV,1
IAH,251
LIMCH,1
VITULANO,3
KAHAM,6
CEGIEL,4
OOHYUNG,3
MEGHA,39
SSERIN,12
VYUZHAN,1
PONGTA,1
DORACIC,1
UHTAN,3
ETMANSKA,2
OWBER,2
AUVIGNAC,1
ESZCZUK,2
WARER,1
OUBLEYN,1
OESCHE,1
ZARBA,4
UREVICH,18
LIZZON,6
KRNANOV,2
MISTROV,1
ROSSWI,1
DOZI,5
ZHAOJU,15
ETHUM,4
NAYIRC,2
ITREVSK,3
UMSCHIN,1
HANAG,3
ARQUIAF,1
USAF,8
ANNIZZAR,5
SADOLLA,5
BDELTO,1
SCHRAG,8
EEO,1
CHAOUACH,2
HOEVE,19
GASB,2
COCKAYNE,11
PIEWTH,1
SARISARA,1
HALASYA,1
FAKHR,40
RAVAZHI,1
ARALAMP,44
MIRFATTA,1
TEUSI,1
NGSRIVIN,1
IOLFI,3
AMNJANOV,4
MARTRAT,2
AXINE,11
HATKL,1
ROUTSE,1
ENCHING,1
PALENS,2
AZAMATOV,1
OIJERS,1
EDAEN,9
TANSUCH,1
SONNENDR,12
IANNACOU,1
YESHAYAH,1
ENGATAA,1
ATTESSI,1
OONTARE,1
HOLLA,63
ANEIW,1
ANMANDLU,4
LMEYDA,1
AJMOOS,2
BENEDYCZ,2
AASJA,1
HETTMA,1
SHOFTEDE,1
RIEDBERG,2
AKIH,98
HENHAM,17
WUDHIKA,1
AHERBANE,1
ORRISE,3
ACOUT,1
WAADE,1
STIMMI,2
ZHIANI,1
STRAWE,1
BABAI,32
VENTOINE,4
YAMMING,1
KHOK,24
NISKA,2
ROEDEL,2
ATALINGH,1
DALLI,4
EMIPOUR,11
KSHIRAS,17
UNDARAKA,1
ATTARU,1
RKB,4
RDYUK,2
OETENS,1
APKI,1
NEDOM,14
LIPOUR,28
DISTINT,1
MITEVA,2
PILSKALN,1
NDERBAUW,5
AMBUDDHA,7
WESSLE,2
MANOCHE,2
ENKHO,1
SAUE,71
BOYDEN,2
GAYD,3
KRABARTY,66
INGEBI,1
MATVE,21
AWTRAKUL,2
JAKJ,1
ORZET,1
LISANT,1
URDON,15
MATAV,1
KARAGUL,1
YOUDH,2
CITERNE,4
VLAJIC,4
GNIB,1
AVECCHIA,7
ATSUHIK,28
KHIZA,2
URDRE,1
OURDUSAM,1
HIFFL,1
ASIMHU,1
PADDOCK,1
STIEG,11
RSESSIA,4
OJANOWSK,1
LMEROTH,7
FARENHOR,3
BALTRU,3
GLUI,2
SONDES,1
HUALIA,10
ATHAV,4
IRITH,102
DUKOVS,1
EWOESTYN,4
LIQUE,13
NANCIE,3
CUCCIOLE,1
TISHAU,1
FJUK,1
BYEV,1
ISSAOUI,3
YIFAT,6
IMIHIDE,1
RBERGER,7
ENGWEN,17
HALEEM,3
UINCAMP,14
LEJAH,1
NOHPI,3
TISIN,1
METCA,13
ULJACA,1
OVAR,47
SOMLANJI,1
HIHP,1
ENTAFR,1
OUED,14
INIG,12
DRAGOTT,1
SUYEON,1
TAYARI,1
WEISBAN,2
OMOFUM,1
MALOUC,3
ORNKUN,3
IAKOVLIE,1
SEJE,5
NEPELSK,1
ISHIBO,1
YEONGK,9
DOLMO,2
AZZAGHZ,1
SPAZZIN,1
HAGHIGH,25
URSNANI,4
BRAZHEN,1
EUSTAC,4
STEUBER,2
STERW,10
IENK,41
DZIM,32
MBIR,7
SALEHIP,2
TELZER,8
DERUDI,1
NOGUEIRA,39
HOSHAVI,1
AGHAE,14
OUMITA,4
AMSWEE,4
IYOOT,8
AUSNE,6
GSAPHA,1
CHANDL,19
MILITIN,4
ERPICU,1
OMENE,15
HEILLET,2
RDEJ,14
HALLAS,1
MEUN,15
DHUPRAV,1
MAHNE,1
TAYLO,190
GGERM,2
DIKBIYI,1
AIZUK,2
MAGNIEZ,10
ANDOE,1
ISHNAD,2
NDIK,25
GERSHO,16
THELLEF,9
CULP,2
UNHUAI,10
SHARPOY,1
ACKLE,18
MARCK,6
ECKLEN,1
ORIWAK,1
BHUNJ,1
NIMIRE,5
NATELLA,42
VIGL,22
INGEISEN,3
SLEZA,10
UDEST,4
VITAB,5
RGOOD,1
HIORGHE,18
AKAOKA,13
AMURUGA,8
AROUBA,1
OPOKA,1
AIASHY,1
HRINOUD,1
KULTURS,1
OROVN,1
AVINHA,1
CHABIN,5
IDTG,1
NYANAPH,1
EGLED,1
HUMPOL,1
NGAMEH,1
RRIHILL,1
DELHAME,1
ONSVOO,2
IJSHOF,8
IAUDDIN,3
SPIT,54
WARTCHO,1
PETSCHEN,1
ALJAROUD,1
GUARDA,5
SANQIN,10
ARMARAJA,5
BAURLE,2
LEATHR,1
OHLBEIN,1
FAREL,13
BEKAI,1
ARPEYVA,2
IEWSKI,34
NKOCZY,1
OERTNE,1
HARBUTL,3
UCHIBE,2
JNOHA,5
OUZRO,3
AROONI,2
RKISSIAN,1
KUSTAL,6
HAMARAI,12
ORREST,73
ACHW,9
SAFARZ,1
ITZBE,2
ORGHET,8
MGARTN,30
AWITZ,10
YKHOSRA,1
EUK,56
AHMIAS,1
DRUM,31
ICHIAKI,4
IMOY,9
UNOLFS,4
ALISA,41
ORDANGE,1
HULOUD,1
AURENHA,2
ANSROP,1
HAVEL,14
SARJO,3
ISAVE,5
SAYANTAN,4
ECHSSLE,3
MIALE,3
BACKL,2
KUJAWI,1
CHOHONG,12
LANCIU,1
SAHINOGL,3
BBELSTEE,2
AROKIA,5
NEUST,2
JOUNGHO,1
IYENGHA,1
KARSM,2
OWRON,5
WASSM,2
FAHMEED,1
UCREZ,1
ASHLE,46
AHSAVAND,1
REFOR,7
HUNYE,2
SNIEMI,2
HANOG,11
RWIN,213
NSHIRO,2
TLATLAP,1
TANOUE,1
RISTA,78
SAAT,8
ANIED,1
AYLWAR,4
LAHUD,5
LITOW,5
BOUNO,1
REGALIA,2
JIANYUA,2
RRAJAN,1
BEKR,5
NGER,1185
CHAKOU,3
OSTADINK,1
ONROY,22
OUEX,1
HUNTON,2
NORBAYAH,2
HANDE,81
OLFH,14
OZZEL,5
SSILEV,38
CHIRUV,1
NTHEI,1
MORZEN,1
TAMIPOU,1
BEDK,2
LORIKE,1
RTIR,5
STJANSO,1
MAHADEEN,2
SPELTIN,1
HORTA,8
GUEFE,1
IEGRI,1
ONIAK,1
LYNGSTA,1
RAFSHAN,4
AGHASA,1
HORTTA,1
YOUAKI,1
LOSHAN,2
PIERGI,7
ARATT,12
GENDU,2
WLI,50
IJOUX,1
ERENKOV,2
ZACZEK,1
TEZU,8
KOKUBU,4
DUVALI,1
MALDONAD,16
IRCHFIE,1
KAKUTANI,4
ANTHAKR,3
CHINENYA,1
HAUENST,3
ATAIL,5
NTOGNO,1
LKEA,1
EORGAKIL,1
ISUZAKI,3
ERENTINO,1
NURR,2
ACHAIRE,2
ZEK,239
ONILDE,2
IGGETT,2
SCAIEL,1
GLEYZER,1
SCHIRR,12
IYETOG,1
BARTZIOK,1
