string,selectivity
OMLS,1
TERAKIS,1
OSWICK,1
HADDOC,7
CAROLF,1
TSUJITA,1
DHAFF,1
ETTERVI,1
IRAKA,17
PENCHA,1
UVRIE,1
HORGE,6
CUNDIN,1
MCENTIR,4
MARTIC,7
NCHERSHA,1
TUFREY,1
AFORM,3
LOMENI,1
CELEVI,1
RAZUVAYE,1
SIOCHAIN,1
POLI,331
FTSWU,1
ARBONAR,4
OPURIDZE,1
NNEKR,3
OOCHUL,2
ORIND,23
TEZL,2
CAANGA,1
ECCASARA,1
DIFORT,1
HMONE,1
NEBRENNE,1
HISLAND,1
OHAIEME,1
OLUBEFF,1
ARTLEBEN,1
SIRCH,2
OHTINEN,1
NTILECON,1
BISAVLJE,2
HEMAO,1
ZIGORO,1
EBISKV,1
BARTOCC,3
ENTALE,4
EDERKE,1
ADALLAH,2
ALTESE,4
FIGIN,1
HOUGAARD,1
HUITRIC,1
IRIGNAN,1
CAOIMH,5
NDROVIT,1
JOAOAUG,1
KORNEYCH,1
OSTRENK,2
PIESZALS,1
QUEBA,1
MAPITIGA,1
LEPEU,2
UXTO,23
VRBA,8
HARIKA,9
FULEN,1
SHOUGUO,1
UEDOLCE,3
HORNBRO,1
OSHKO,11
SHARLEIN,1
IFFEM,1
OMELCH,1
MILAYO,1
AMENICKO,1
SILAMAN,1
MAMCI,1
ENASSE,3
SCIOU,3
YANGHWA,2
ERPEDR,1
KOHANYI,1
NOKYL,1
NDMEYER,2
GRIMAUDO,2
SONYARDL,1
ASSIMBE,1
ROOBANT,1
BAIGNRE,1
AMURSK,1
LLBJ,2
LOSBER,5
OLYGO,1
NAITO,12
VLIKANG,1
URGNAT,1
OUTO,73
EIRGAKAR,1
BRENARD,1
DWORI,1
OURDONNE,1
KADRN,1
OGTON,1
BEBE,28
AVOLETTA,1
WELFOR,2
GNEYWA,1
EVENDO,4
ZACES,1
POKEMPNE,1
GARBERG,1
ECUZIA,1
TAEYO,7
SEMMLIN,1
KDJIA,3
RGGOLSO,1
KOLSK,12
HOMASKOL,1
PACER,1
GUAG,8
LMANRA,1
ELEZNYA,1
ANDREOLI,4
JUSSEN,3
BERARDO,2
LCLMEN,1
LAKSHAM,1
THIVE,2
DLEBU,2
OUZOUBAC,1
ZAIMMON,1
QUATE,1
RVELINE,1
ASHRIQ,1
TKAPELLE,4
IOCE,4
YAZBEC,1
UKASHVI,2
RCERY,1
PNEE,1
TAVITY,1
SOBNTZY,1
CACANAN,1
SHINHWAN,1
GUICHARD,7
NOCENTI,8
BOLLOC,2
CHAUCHO,1
GERTB,1
WOLZING,1
ROSLAVNA,1
NOYESKY,1
DJABASHI,1
MESZAR,1
SCHENBE,4
EUHOL,1
DRIQUEZT,1
GREENSTA,1
IANMCNA,1
SMOKIE,1
REYCOO,1
DONALDA,2
GULLA,16
SANDHFN,1
TERSEE,1
ATTMCCO,1
PIKAS,3
MARSILI,4
KRTIZ,1
NNORS,41
NOPPORN,1
LISSME,3
WHATCOTT,1
AMEIJEI,1
KERVERN,1
DAGWE,1
PLICHA,3
GYLOU,1
HDOSSY,1
EARSLE,6
EGRAZI,1
CTORTH,1
