string,selectivity
RANEPO,1
HBIS,3
MELCHI,1
ERKAG,1
NGROSERV,1
LLCHI,1
G3000,1
NTERACI,1
FIESK,1
LVATI,29
DOET,5
NASRIB,1
MISTAN,1
HENIL,1
7511,28
RILLIS,2
ORRIERE,3
15991,1
OTTOD,1
IMASITA,1
SWAPNAP,1
HAHMOSET,1
WORKLO,1
LESTONES,9
IVEKANA,2
SROCKET,1
BEZPATNI,1
CASEIR,2
NIEUWP,1
USMON,1
BKASS,2
REPEIA,1
DRAKON,3
LIMPRE,3
DEFENDA,3
MEGLEPET,4
HNAMUR,1
MBLEFOOT,1
RENTISSA,1
KUMPAN,2
ARISUTO,1
UNEARTHE,4
HURMA,5
AIHTO,6
SADARA,4
USTLY,1
THDAYTH,1
GUING,4
NOCEROU,1
RHUNPAL,1
1948196,1
AUSGEST,3
ZBLZNIM,1
P1LL,1
19902,1
DODGEM,1
LIYI,2
ETASTE,1
IMPIADA,5
RCHRISTL,2
CHAFTE,22
OJALANE,1
AVGNG,1
UOSTUM,1
OBSOLE,8
MBFH,1
MCTA,3
SAGIS,11
EMPT,277
OISHESTV,2
LPAINTI,1
KSUPPO,1
POZNA,4
GREIFU,1
38120,1
JABLON,1
CKMANM,2
20080307,7
TONOO,2
YPNOTOZE,1
DIVETT,1
ISVER,7
RACKERB,1
FANSERV,1
ZQU,11
JORDS,2
20120102,15
RTSTUGAN,1
WOLFPEAN,1
OMOTING,2
SUIGETS,1
UNTOWNIK,1
RIZM,2
NTASTI,76
SSLANDDE,1
OTTERIA,2
RFMDCH,1
OTAGONIS,5
RSTENSFE,1
INFEKCIJ,1
SORTANT,1
BAISA,1
NYMPHA,1
MATUNTO,2
PELKONG,1
IRJA,28
AIVIAQ,1
FEJERE,1
GV,56
PODEJR,1
ALADEE,1
DAIDOKOR,1
GEARJAMM,1
CHAGODZ,1
BILBO,2
GOSHIT,2
60316,13
GOUME,2
EEVIRAVA,1
IANP,3
PORM,1
TOPR,10
LOAK,9
LNENIYA,1
KUNGF,13
WEAREL,1
GOUDGERA,1
RWUT,1
IWELL,5
HREEC,1
INCERUS,1
EYEA,1
ERIKOIN,1
YOUAUR,1
YALBER,1
CJACK,1
IMAGENT,1
INNERRA,1
UPPENBI,2
ASALILU,1
ACHTBE,1
EACEW,1
RHINELA,1
SKLAVEN,8
841104,1
GAKAM,1
TOMLINJA,1
TERVOL,1
DSOBIS,1
OUSSU,3
TKIDD,1
AAGANG,1
DISAA,1
RIEFJES,1
HRENDES,1
SKAMEY,1
IJIGEN,1
KEITAR,2
1978050,4
ICHICHIL,1
ERSONALS,5
ODLEDUE,1
LAKEVIEW,1
THOPH,1
KECKSBU,1
RIBLJE,1
NKYPA,1
RMAFR,1
EPPANASH,2
NTIALIST,1
DRAKES,6
WANZA,1
IMD,22
AVOD,7
HWAST,1
89020,9
NTORTIO,5
ARUSHAWA,1
SSERSICE,1
TOLIK,1
HOPAI,1
CHYDE,4
OTSUKAI,3
SWINGLES,1
LOCKM,2
RSTORC,1
IEDY,3
MARLOUP,1
BEDE,34
AIAD,2
RKANN,5
STCKSKA,1
ARINGK,2
NIJKE,1
AFINOWI,1
STUBBLE,1
LAMEDO,1
HOENTJ,1
9620826,1
ENGIL,3
ISNEY,104
LEURLAUB,1
IOLONIS,1
AMSVLEL,1
INNYGOG,1
YCZNYCH,1
