s_q, ground_truth, estimate, latency
MIS,10963,30217.41015625,0.004915714263916016
ISTLE,10867,22712.205078125,0.0018863677978515625
ENR,10842,27696.388671875,0.0017380714416503906
TUR,11014,19271.7578125,0.0016429424285888672
TURQUOI,11014,19378.484375,0.0016338825225830078
DI,32408,23767.482421875,0.002218961715698242
GENT,10828,23504.947265625,0.0017435550689697266
HONEYD,10906,24368.91796875,0.0015993118286132812
ETALLIC,10718,15846.12109375,0.0022125244140625
ARIN,10727,18065.783203125,0.0015721321105957031
MAGENT,10828,18919.673828125,0.0015513896942138672
LAVENDE,10938,18382.681640625,0.0015709400177001953
ANTIQU,10869,21184.60546875,0.0015323162078857422
DIU,10852,26652.177734375,0.0016620159149169922
AVE,10938,20199.59375,0.0016312599182128906
NSIL,10733,29736.56640625,0.0025572776794433594
SQ,10868,32565.58203125,0.001722574234008789
WHI,10885,36342.734375,0.001615762710571289
URE,10880,45610.65625,0.0015511512756347656
YEL,10992,25430.423828125,0.0017037391662597656
OON,10963,28612.515625,0.0016045570373535156
HOC,10957,26588.708984375,0.001566171646118164
THISTL,10867,24743.419921875,0.001691579818725586
CHOC,10957,21268.91796875,0.0016133785247802734
LORA,10804,21850.240234375,0.0017001628875732422
CASIN,10825,15824.314453125,0.0016002655029296875
HEA,10793,15277.7001953125,0.001634359359741211
EST,10737,27684.875,0.0016252994537353516
EI,10876,84289.328125,0.0019500255584716797
OKE,10736,48549.9296875,0.001712799072265625
USE,10861,31984.015625,0.0016078948974609375
QUOI,11014,25386.85546875,0.0015964508056640625
RC,11010,31733.1171875,0.0015876293182373047
NAVY,10880,23542.1640625,0.0016264915466308594
CHIFF,10960,20660.63671875,0.0015566349029541016
ROWN,10976,28838.08203125,0.0017213821411132812
SIL,10733,20370.314453125,0.001697540283203125
AKI,10729,18704.49609375,0.0015902519226074219
APA,10912,25162.091796875,0.0016069412231445312
EE,32194,20768.8359375,0.0016033649444580078
DIA,10657,24940.95703125,0.0015938282012939453
IFF,10960,19642.828125,0.001585245132446289
IST,21830,18080.69140625,0.0015861988067626953
ZUR,10880,29414.6328125,0.0016102790832519531
AK,10729,61246.6875,0.0015995502471923828
ELL,21961,19600.40625,0.00162506103515625
OMA,11150,21305.642578125,0.0016491413116455078
SQUE,10868,23772.46875,0.0017020702362060547
VY,10880,60803.27734375,0.0016148090362548828
LLO,10992,22777.80078125,0.001562356948852539
METALLIC,10718,17761.73046875,0.0017273426055908203
AVENDER,10938,24098.7734375,0.0017101764678955078
PUR,10926,19668.6953125,0.0015950202941894531
OCCASIN,10825,20661.662109375,0.0016245841979980469
BLUE,10871,21056.90234375,0.0015850067138671875
IDNIGHT,11011,15927.724609375,0.002438783645629883
HIST,10867,21663.35546875,0.001623392105102539
EBR,10904,22103.798828125,0.0016360282897949219
OLDENROD,10842,20675.458984375,0.0016391277313232422
PEACH,10835,18124.90625,0.0016334056854248047
TREUS,10861,24558.171875,0.0017156600952148438
NNA,10960,26681.728515625,0.0016160011291503906
IQU,10869,17422.70703125,0.001615285873413086
OC,21782,19677.15625,0.0015990734100341797
LYW,10969,39453.50390625,0.0016486644744873047
RTRE,10861,18367.2421875,0.0016100406646728516
EN,65105,26068.5703125,0.0016019344329833984
ACK,10869,17809.2734375,0.0015730857849121094
