s_q,d,true_count,est_count,latency
MIS,0,10963,10963.0,0.00019049644470214844
ISTLE,0,10867,10867.0,0.00012493133544921875
ENR,0,10842,10842.0,0.00011873245239257812
TUR,0,11014,11014.0,0.00010132789611816406
TURQUOI,0,11014,11014.0,0.00012350082397460938
DI,0,32408,31006.0,0.00010228157043457031
GENT,0,10828,10828.0,9.822845458984375e-05
HONEYD,0,10906,10906.0,0.00012135505676269531
ETALLIC,0,10718,10718.0,0.00012373924255371094
ARIN,0,10727,10727.0,0.00010561943054199219
MAGENT,0,10828,10828.0,0.00010704994201660156
LAVENDE,0,10938,10938.0,0.00011038780212402344
ANTIQU,0,10869,10869.0,0.00010728836059570312
DIU,0,10852,10852.0,9.059906005859375e-05
AVE,0,10938,10938.0,8.845329284667969e-05
NSIL,0,10733,10733.0,8.797645568847656e-05
SQ,0,10868,10868.0,8.726119995117188e-05
WHI,0,10885,10885.0,8.726119995117188e-05
URE,0,10880,10880.0,8.726119995117188e-05
YEL,0,10992,10992.0,8.821487426757812e-05
OON,0,10963,10963.0,9.012222290039062e-05
HOC,0,10957,10957.0,8.7738037109375e-05
THISTL,0,10867,10867.0,0.00010824203491210938
CHOC,0,10957,10957.0,9.083747863769531e-05
LORA,0,10804,10804.0,8.702278137207031e-05
CASIN,0,10825,10825.0,8.7738037109375e-05
HEA,0,10793,10793.0,8.869171142578125e-05
EST,0,10737,10737.0,8.7738037109375e-05
EI,0,10876,10876.0,8.726119995117188e-05
OKE,0,10736,10736.0,0.00011610984802246094
USE,0,10861,10861.0,9.465217590332031e-05
QUOI,0,11014,11014.0,9.322166442871094e-05
RC,0,11010,11010.0,9.179115295410156e-05
NAVY,0,10880,10880.0,9.250640869140625e-05
CHIFF,0,10960,10960.0,9.298324584960938e-05
ROWN,0,10976,10976.0,9.322166442871094e-05
SIL,0,10733,10733.0,9.250640869140625e-05
AKI,0,10729,10729.0,9.179115295410156e-05
APA,0,10912,10912.0,9.202957153320312e-05
EE,0,32194,30821.0,9.751319885253906e-05
DIA,0,10657,10657.0,9.274482727050781e-05
IFF,0,10960,10960.0,0.00010609626770019531
IST,0,21830,21350.0,8.726119995117188e-05
ZUR,0,10880,10880.0,8.749961853027344e-05
AK,0,10729,10729.0,8.797645568847656e-05
ELL,0,21961,21462.0,8.702278137207031e-05
OMA,0,11150,11150.0,9.083747863769531e-05
SQUE,0,10868,10868.0,8.797645568847656e-05
VY,0,10880,10880.0,8.630752563476562e-05
LLO,0,10992,10992.0,8.606910705566406e-05
METALLIC,0,10718,10718.0,0.00011205673217773438
AVENDER,0,10938,10938.0,0.00010728836059570312
PUR,0,10926,10926.0,8.893013000488281e-05
OCCASIN,0,10825,10825.0,0.00010609626770019531
BLUE,0,10871,10871.0,8.869171142578125e-05
IDNIGHT,0,11011,11011.0,0.00010657310485839844
HIST,0,10867,10867.0,8.940696716308594e-05
EBR,0,10904,10904.0,8.678436279296875e-05
OLDENROD,0,10842,10842.0,0.00010943412780761719
PEACH,0,10835,10835.0,9.417533874511719e-05
TREUS,0,10861,10861.0,8.7738037109375e-05
NNA,0,10960,10960.0,8.702278137207031e-05
IQU,0,10869,10869.0,8.678436279296875e-05
OC,0,21782,21280.0,8.654594421386719e-05
LYW,0,10969,10969.0,8.7738037109375e-05
RTRE,0,10861,10861.0,8.726119995117188e-05
EN,0,65105,58165.0,8.749961853027344e-05
ACK,0,10869,10869.0,8.797645568847656e-05
ALE,0,10836,10836.0,8.749961853027344e-05
ZU,0,10880,10880.0,8.654594421386719e-05
STLE,0,10867,10867.0,9.298324584960938e-05
RO,0,86736,74198.0,0.00011515617370605469
VENDE,0,10938,10938.0,9.512901306152344e-05
BEIGE,0,10876,10876.0,9.393692016601562e-05
GHO,0,10831,10831.0,9.202957153320312e-05
RP,0,10926,10926.0,9.298324584960938e-05
YWOOD,0,10969,10969.0,9.655952453613281e-05
CC,0,10825,10825.0,9.179115295410156e-05
P,0,141195,95606.0,9.465217590332031e-05
PER,0,10826,10826.0,9.298324584960938e-05
NSBOR,0,10635,10635.0,9.298324584960938e-05
IN,0,86289,73866.0,9.322166442871094e-05
CREAM,0,10834,10834.0,9.226799011230469e-05
WO,0,10969,10969.0,9.179115295410156e-05
ASHE,0,10969,10969.0,9.918212890625e-05
MOCCASI,0,10825,10825.0,0.000118255615234375
SLATE,0,10822,10822.0,9.703636169433594e-05
MISTY,0,10963,10963.0,8.845329284667969e-05
SADDLE,0,10947,10947.0,0.00010395050048828125
AR,0,43274,40491.0,9.036064147949219e-05
URL,0,10969,10969.0,8.845329284667969e-05
EP,0,10782,10782.0,9.417533874511719e-05
OT,0,10995,10995.0,8.797645568847656e-05
MON,0,32690,31277.0,8.726119995117188e-05
TALLIC,0,10718,10718.0,0.0001277923583984375
FIREBRIC,0,10904,10904.0,0.00011873245239257812
IAN,0,10657,10657.0,9.512901306152344e-05
FROSTE,0,10800,10800.0,0.00011038780212402344
RK,0,10723,10723.0,9.417533874511719e-05
CCASI,0,10825,10825.0,9.441375732421875e-05
ETALLI,0,10718,10718.0,0.00010824203491210938
OCC,0,10825,10825.0,9.465217590332031e-05
AVY,0,10880,10880.0,9.274482727050781e-05
ASHEL,0,10969,10969.0,9.965896606445312e-05
ORNF,0,10935,10935.0,9.34600830078125e-05
ORY,0,10640,10640.0,9.322166442871094e-05
RI,0,32456,31077.0,9.846687316894531e-05
OWD,0,10905,10905.0,9.036064147949219e-05
BI,0,10868,10868.0,8.678436279296875e-05
AMARINE,0,10727,10727.0,0.00010728836059570312
YAL,0,10756,10756.0,8.96453857421875e-05
LU,0,32303,30910.0,9.226799011230469e-05
OOD,0,10969,10969.0,0.00011587142944335938
OL,0,43405,40604.0,9.417533874511719e-05
CORNSI,0,10733,10733.0,0.00011229515075683594
FLORAL,0,10804,10804.0,0.00010991096496582031
BRIC,0,10904,10904.0,9.441375732421875e-05
PINK,0,10856,10856.0,9.274482727050781e-05
RANG,0,11007,11007.0,9.322166442871094e-05
AMAR,0,10727,10727.0,9.179115295410156e-05
SIEN,0,10960,10960.0,9.202957153320312e-05
REEN,0,10664,10664.0,0.00011157989501953125
