s_q, ground_truth, estimate, latency
MIS,10963.0,10963.0,2.193450927734375e-05
ISTLE,10867.0,10867.0,6.771087646484375e-05
ENR,10842.0,10842.0,7.62939453125e-06
TUR,11014.0,11014.0,5.7220458984375e-06
TURQUOI,11014.0,11014.0,6.67572021484375e-05
DI,31006.0,31006.0,5.245208740234375e-06
GENT,10828.0,10828.0,2.193450927734375e-05
HONEYD,10906.0,10906.0,5.221366882324219e-05
ETALLIC,10718.0,10718.0,6.651878356933594e-05
ARIN,10727.0,10726.0,2.1696090698242188e-05
MAGENT,10828.0,10828.0,4.792213439941406e-05
LAVENDE,10938.0,10938.0,6.270408630371094e-05
ANTIQU,10869.0,10869.0,4.9114227294921875e-05
DIU,10852.0,10852.0,5.245208740234375e-06
AVE,10938.0,10938.0,4.76837158203125e-06
NSIL,10733.0,10733.0,2.0503997802734375e-05
SQ,10868.0,10868.0,4.76837158203125e-06
WHI,10885.0,10885.0,5.0067901611328125e-06
URE,10880.0,10880.0,5.0067901611328125e-06
YEL,10992.0,10992.0,5.7220458984375e-06
OON,10963.0,10963.0,4.291534423828125e-06
HOC,10957.0,10957.0,4.5299530029296875e-06
THISTL,10867.0,10867.0,4.553794860839844e-05
CHOC,10957.0,10957.0,1.9073486328125e-05
LORA,10804.0,10804.0,2.0742416381835938e-05
CASIN,10825.0,10825.0,3.24249267578125e-05
HEA,10793.0,10793.0,5.4836273193359375e-06
EST,10737.0,10737.0,5.245208740234375e-06
EI,10876.0,10876.0,4.291534423828125e-06
OKE,10736.0,10736.0,4.5299530029296875e-06
USE,10861.0,10861.0,4.76837158203125e-06
QUOI,11014.0,11014.0,1.8358230590820312e-05
RC,11010.0,11010.0,4.5299530029296875e-06
NAVY,10880.0,10880.0,1.8835067749023438e-05
CHIFF,10960.0,10960.0,3.1948089599609375e-05
ROWN,10976.0,10976.0,2.0503997802734375e-05
SIL,10733.0,10733.0,4.76837158203125e-06
AKI,10729.0,10729.0,4.76837158203125e-06
APA,10912.0,10912.0,4.5299530029296875e-06
EE,30821.0,30821.0,4.0531158447265625e-06
DIA,10657.0,10657.0,4.291534423828125e-06
IFF,10960.0,10960.0,4.0531158447265625e-06
IST,21350.0,21350.0,4.0531158447265625e-06
ZUR,10880.0,10880.0,4.76837158203125e-06
AK,10729.0,10729.0,3.814697265625e-06
ELL,21462.0,21462.0,4.5299530029296875e-06
OMA,11150.0,11150.0,4.76837158203125e-06
SQUE,10868.0,10868.0,1.9788742065429688e-05
VY,10880.0,10880.0,4.0531158447265625e-06
LLO,10992.0,10992.0,4.291534423828125e-06
METALLIC,10718.0,10718.0,6.771087646484375e-05
AVENDER,10938.0,10938.0,5.698204040527344e-05
PUR,10926.0,10926.0,6.4373016357421875e-06
OCCASIN,10825.0,10825.0,6.914138793945312e-05
BLUE,10871.0,10871.0,2.0742416381835938e-05
IDNIGHT,11011.0,11011.0,6.127357482910156e-05
HIST,10867.0,10867.0,1.811981201171875e-05
EBR,10904.0,10904.0,5.7220458984375e-06
OLDENROD,10842.0,10842.0,7.557868957519531e-05
